gen,min_score,med_score,max_score,spearman,conv_counter
1,458.878396,742.740076,1122.786041,0,0
2,543.320505,815.016466,1230.173459,0.9999999999999999,1
3,473.778337,868.848479,1466.872627,-0.35757575757575755,0
4,481.787782,992.177466,1503.911717,0.28484848484848485,0
5,663.162757,1070.540179,1503.911717,-0.16363636363636364,0
6,527.852355,1122.612546,1503.911717,0.006060606060606061,0
7,673.312591,1134.360171,1572.56653,0.6484848484848483,0
8,653.733141,1182.24239,1572.56653,0.5030303030303029,0
9,585.772111,1232.071523,1572.56653,0.5757575757575757,0
10,453.054559,1239.52736,1590.384842,0.16363636363636364,0
11,567.029642,1254.6087,1743.461109,0.3939393939393939,0
12,637.99156,1306.077135,2079.904902,0.9878787878787878,1
13,667.523621,1323.120725,2079.904902,0.5878787878787878,0
14,524.364564,1334.660008,2079.904902,0.8909090909090909,1
15,605.366203,1452.519048,2079.904902,0.9999999999999999,2
16,630.203931,1493.419903,2378.344006,0.9999999999999999,3
17,623.306839,1516.889023,2440.284581,-0.09090909090909088,0
18,656.04774,1572.56653,2440.284581,0.8424242424242423,1
19,544.582878,1590.384842,2440.284581,0.6969696969696969,0
20,696.880231,1614.67054,2440.284581,0.9515151515151514,1
21,573.363314,1643.572015,2440.284581,0.8909090909090909,2
22,755.27539,1649.876845,2440.284581,0.7333333333333332,0
23,482.860976,1672.683115,2440.284581,0.9515151515151514,1
24,688.062904,1658.84328,2440.284581,0.9999999999999999,2
25,536.548135,1719.33866,2440.284581,0.9999999999999999,3
26,1082.492531,1640.349856,2440.284581,0.5636363636363636,0
27,731.805907,1623.92328,2440.284581,0.9999999999999999,1
28,668.180003,1743.461109,2440.284581,0.5878787878787878,0
29,665.111164,1779.092677,2440.284581,0.9999999999999999,1
30,677.820691,1795.682738,2440.284581,0.9999999999999999,2
31,777.239137,1779.092677,2440.284581,0.22424242424242422,0
32,774.063877,1658.84328,2440.284581,0.9999999999999999,1
33,783.716902,1759.409401,2440.284581,0.9878787878787878,2
34,520.105002,1779.092677,2440.284581,0.9515151515151514,3
35,559.281134,1805.405601,2440.284581,0.406060606060606,0
36,588.635004,1779.092677,2440.284581,0.406060606060606,0
37,723.455675,1811.559175,2440.284581,0.9999999999999999,1
38,856.685307,1820.815475,2440.284581,0.9999999999999999,2
39,852.083301,1831.42039,2440.284581,0.9999999999999999,3
40,548.181193,1831.42039,2440.284581,0.9636363636363635,4
41,757.817696,1840.51489,2440.284581,0.9999999999999999,5
42,553.526393,1831.42039,2440.284581,0.9999999999999999,6
43,633.665575,1841.897209,2440.284581,0.9999999999999999,7
44,1123.95302,1847.598461,2456.700557,0.9999999999999999,8
45,876.317498,1863.074411,2518.09968,0.9999999999999999,9
46,510.159262,1863.074411,2518.09968,0.9515151515151514,10
47,885.749341,1892.876183,2518.09968,0.9999999999999999,11
48,926.18464,1847.598461,2518.09968,0.8060606060606059,12
49,962.828697,1896.394552,2518.09968,0.9515151515151514,13
50,712.171968,1896.394552,2518.09968,0.9878787878787878,14
51,928.243557,1909.12143,2518.09968,0.9999999999999999,15
52,652.05431,1850.370671,2518.09968,0.5636363636363636,0
53,715.336037,1919.83831,2518.09968,0.9999999999999999,1
54,711.197503,1931.250098,2596.343192,0.8909090909090909,2
55,767.815293,1757.235992,2596.343192,0.9999999999999999,3
56,1043.487418,1830.774852,2596.343192,0.9999999999999999,4
57,905.958472,1892.599317,2596.343192,0.9999999999999999,5
58,578.444752,1902.010998,2596.343192,0.9878787878787878,6
59,604.21393,1909.12143,2596.343192,0.9999999999999999,7
60,543.03826,1892.599317,2596.343192,0.9999999999999999,8
