gen,min_score,med_score,max_score,spearman,conv_counter
1,1.427,2.747,4.735,0,0
2,1.12,2.329,3.49,0.9999999999999999,1
3,1.12,2.226,3.126,0.11515151515151514,0
4,1.12,2.051,10,0.49090909090909085,0
5,0.581,1.754,10,0.23636363636363633,0
6,0.581,1.537,10,-0.2606060606060606,0
7,0.34,1.395,3.611,0.2121212121212121,0
8,0.34,1.225,10,0.35757575757575755,0
9,0.34,1.197,10,-0.11515151515151514,0
10,0.34,1.034,10,0.5515151515151515,0
11,0.34,0.949,3.258,0.5030303030303029,0
12,0.34,0.926,10,0.2606060606060606,0
13,0.34,0.857,10,0.9757575757575757,1
14,0.34,0.847,10,0.8060606060606059,2
15,0.34,0.837,10,0.9999999999999999,3
16,0.34,0.837,3.324,0.8909090909090909,4
17,0.34,0.837,3.663,0.5636363636363636,0
18,0.34,0.821,10,0.9999999999999999,1
19,0.34,0.798,10,0.9999999999999999,2
20,0.34,0.796,10,0.9515151515151514,3
21,0.34,0.714,10,0.9999999999999999,4
22,0.34,0.699,4.371,0.8909090909090909,5
23,0.34,0.699,10,0.6969696969696969,0
24,0.34,0.674,10,0.8060606060606059,1
25,0.246,0.659,10,0.9636363636363635,2
26,0.246,0.654,10,0.9999999999999999,3
27,0.246,0.641,4.243,0.9999999999999999,4
28,0.246,0.641,3.353,0.9878787878787878,5
29,0.246,0.641,10,0.9272727272727272,6
30,0.246,0.641,4.294,0.9030303030303028,7
31,0.246,0.641,10,0.9878787878787878,8
32,0.246,0.625,10,0.7212121212121211,0
33,0.246,0.581,10,0.9515151515151514,1
34,0.246,0.581,10,0.9636363636363635,2
35,0.246,0.581,10,0.8909090909090909,3
36,0.246,0.581,3.302,0.7939393939393938,0
37,0.246,0.58,10,0.9636363636363635,1
38,0.246,0.58,4.21,0.9636363636363635,2
39,0.246,0.58,3.86,0.7696969696969697,0
40,0.246,0.58,10,0.5757575757575757,0
41,0.246,0.58,3.539,0.9999999999999999,1
42,0.246,0.58,4.179,0.6969696969696969,0
43,0.246,0.58,10,0.5151515151515151,0
44,0.246,0.58,2.701,0.01818181818181818,0
45,0.246,0.58,10,0.8909090909090909,1
46,0.246,0.58,10,0.41818181818181815,0
47,0.246,0.58,10,0.9999999999999999,1
48,0.246,0.58,10,0.6121212121212121,0
49,0.246,0.58,10,0.9999999999999999,1
50,0.246,0.58,4.263,0.6484848484848483,0
