gen,min_score,med_score,max_score,spearman,conv_counter
1,1.887,2.608,4.138,0,0
2,1.887,2.28,10,0.9999999999999999,1
3,1.829,2.147,2.999,0.5030303030303029,0
4,1.675,2.08,3.082,0.28484848484848485,0
5,1.675,2.037,2.429,0.22424242424242422,0
6,1.675,1.983,3.467,0.35757575757575755,0
7,1.675,1.967,3.837,0.13939393939393938,0
8,1.675,1.967,3.093,0.12727272727272726,0
9,1.59,1.922,3.212,-0.2121212121212121,0
10,1.467,1.887,3.14,0.9030303030303028,1
11,1.467,1.864,3.522,0.6242424242424242,0
12,1.266,1.859,3.254,-0.3696969696969697,0
13,0.842,1.82,10,0.8424242424242423,1
14,0.842,1.796,10,0.9999999999999999,2
15,0.842,1.796,3.797,0.9393939393939393,3
16,0.762,1.708,4.371,0.9999999999999999,4
17,0.762,1.675,4.451,0.41818181818181815,0
18,0.762,1.59,10,0.6121212121212121,0
19,0.762,1.569,10,0.8909090909090909,1
20,0.762,1.479,10,0.6727272727272726,0
21,0.762,1.479,3.473,0.9030303030303028,1
22,0.61,1.439,10,0.01818181818181818,0
23,0.61,1.332,10,0.9030303030303028,1
24,0.61,1.328,10,0.8181818181818182,2
25,0.61,1.312,10,0.5636363636363636,0
26,0.61,1.312,10,0.7575757575757575,0
27,0.61,1.285,10,0.6,0
28,0.61,1.285,10,0.9393939393939393,1
29,0.465,1.266,10,0.9999999999999999,2
30,0.465,1.266,10,0.9515151515151514,3
31,0.465,1.264,10,0.9151515151515152,4
32,0.465,1.264,10,0.8424242424242423,5
33,0.465,1.264,10,0.406060606060606,0
34,0.465,1.264,10,0.5878787878787878,0
35,0.465,1.237,10,0.9878787878787878,1
36,0.465,1.237,10,0.22424242424242422,0
37,0.465,1.237,10,0.5636363636363636,0
38,0.465,1.13,10,0.9272727272727272,1
39,0.465,1.115,4.36,0.9151515151515152,2
40,0.465,1.111,3.734,0.8787878787878788,3
41,0.465,1.09,4.257,0.8909090909090909,4
42,0.465,1.09,4.091,0.5636363636363636,0
43,0.465,1.09,10,0.9999999999999999,1
44,0.024,1.042,3.78,0.9999999999999999,2
45,0.024,1.004,10,0.8060606060606059,3
46,0.024,1.004,4.0,0.9878787878787878,4
47,0.024,0.98,4.36,0.9999999999999999,5
48,0.024,0.975,10,0.6242424242424242,0
49,0.024,0.95,10,0.9999999999999999,1
50,0.024,0.894,4.06,0.9999999999999999,2
51,0.024,0.894,10,0.9999999999999999,3
52,0.024,0.851,10,0.9999999999999999,4
53,0.024,0.851,10,0.9999999999999999,5
54,0.024,0.851,10,0.9999999999999999,6
55,0.024,0.851,10,0.9999999999999999,7
56,0.024,0.851,10,0.9999999999999999,8
57,0.024,0.842,10,0.7696969696969697,0
58,0.024,0.842,10,0.9878787878787878,1
