gen,min_score,med_score,max_score,spearman,conv_counter
1,1.511,2.465,10,0,0
2,1.511,2.265,4.598,0.9999999999999999,1
3,1.228,1.986,4.02,-0.0303030303030303,0
4,1.228,1.738,3.059,-0.41818181818181815,0
5,1.158,1.474,3.744,-0.4545454545454545,0
6,0.135,1.428,3.537,0.4787878787878787,0
7,0.135,1.357,3.351,0.7333333333333332,0
8,0.135,1.334,10,0.23636363636363633,0
9,0.135,1.332,3.203,-0.05454545454545454,0
10,0.135,1.312,3.823,0.06666666666666665,0
11,0.135,1.28,4.01,0.9393939393939393,1
12,0.135,1.273,4.162,0.5151515151515151,0
13,0.135,1.261,3.82,0.9999999999999999,1
14,0.135,1.221,4.173,0.0303030303030303,0
15,0.135,1.158,3.874,0.9393939393939393,1
16,0.135,1.099,3.763,0.5636363636363636,0
17,0.135,1.046,3.807,0.9999999999999999,1
18,0.135,1.046,10,0.7696969696969697,0
19,0.135,1.041,10,0.9151515151515152,1
20,0.135,1.006,3.461,0.9999999999999999,2
21,0.135,1.006,10,0.9878787878787878,3
22,0.135,1.006,10,0.8909090909090909,4
23,0.135,1.006,10,0.9999999999999999,5
24,0.135,0.945,10,0.5151515151515151,0
25,0.135,0.929,4.344,0.9999999999999999,1
26,0.135,0.921,10,0.9636363636363635,2
27,0.135,0.904,10,0.7454545454545454,0
28,0.135,0.865,3.935,0.5636363636363636,0
29,0.135,0.829,3.646,0.4545454545454545,0
30,0.135,0.829,10,0.6969696969696969,0
31,0.135,0.829,10,-0.06666666666666665,0
32,0.135,0.829,10,0.8787878787878788,1
33,0.135,0.829,3.575,0.22424242424242422,0
34,0.135,0.829,4.192,0.5636363636363636,0
35,0.135,0.815,10,0.9636363636363635,1
36,0.135,0.815,10,0.9999999999999999,2
37,0.135,0.815,10,0.9999999999999999,3
38,0.135,0.786,4.106,0.9515151515151514,4
39,0.135,0.786,10,0.9999999999999999,5
40,0.135,0.773,10,0.9999999999999999,6
41,0.135,0.773,10,-0.18787878787878787,0
42,0.135,0.773,3.932,0.29696969696969694,0
43,0.135,0.773,10,0.9878787878787878,1
44,0.135,0.771,3.935,0.8424242424242423,2
45,0.135,0.771,10,-0.309090909090909,0
46,0.135,0.771,10,0.406060606060606,0
47,0.135,0.771,4.484,0.5515151515151515,0
48,0.135,0.771,10,0.9151515151515152,1
49,0.135,0.764,4.827,0.9878787878787878,2
50,0.135,0.764,3.699,0.9999999999999999,3
51,0.135,0.764,4.323,0.9999999999999999,4
52,0.135,0.764,3.871,0.9999999999999999,5
53,0.135,0.764,4.224,0.8060606060606059,6
54,0.135,0.703,10,0.9999999999999999,7
55,0.135,0.68,4.21,0.7818181818181817,0
56,0.135,0.677,10,0.406060606060606,0
57,0.135,0.677,10,0.406060606060606,0
58,0.135,0.677,10,0.8424242424242423,1
59,0.135,0.677,3.804,0.3939393939393939,0
60,0.135,0.677,10,0.8909090909090909,1
61,0.135,0.652,3.366,0.9878787878787878,2
62,0.135,0.652,10,0.9999999999999999,3
63,0.135,0.639,10,0.406060606060606,0
64,0.135,0.639,3.751,0.9999999999999999,1
65,0.135,0.631,3.502,0.9999999999999999,2
