gen,min_score,med_score,max_score,spearman,conv_counter
1,1.398,2.519,10,0,0
2,1.245,2.189,10,0.9999999999999999,1
3,1.245,2.071,3.676,-0.6484848484848483,0
4,0.118,1.692,3.58,-0.34545454545454546,0
5,0.118,1.62,3.515,0.2727272727272727,0
6,0.118,1.491,4.683,-0.2727272727272727,0
7,0.118,1.426,3.214,0.2121212121212121,0
8,0.118,1.291,10,0.11515151515151514,0
9,0.118,1.267,10,0.5151515151515151,0
10,0.118,1.245,10,0.5272727272727272,0
11,0.118,1.207,10,0.3939393939393939,0
12,0.118,1.161,4.25,0.33333333333333326,0
13,0.118,1.078,10,0.22424242424242422,0
14,0.118,1.042,10,0.8424242424242423,1
15,0.118,1.042,10,0.9515151515151514,2
16,0.118,1.04,4.387,0.9515151515151514,3
17,0.118,1.012,3.597,0.9999999999999999,4
18,0.118,0.999,10,0.9999999999999999,5
19,0.118,0.992,10,0.7454545454545454,0
20,0.118,0.987,10,0.10303030303030303,0
21,0.118,0.967,10,0.9757575757575757,1
22,0.118,0.93,10,0.7454545454545454,0
23,0.118,0.93,4.266,0.9878787878787878,1
24,0.118,0.904,10,0.4545454545454545,0
25,0.118,0.904,10,0.9999999999999999,1
26,0.118,0.89,4.009,0.8545454545454544,2
27,0.118,0.89,4.286,0.9515151515151514,3
28,0.118,0.89,10,0.8060606060606059,4
29,0.118,0.885,10,0.3939393939393939,0
30,0.118,0.863,10,0.9999999999999999,1
31,0.118,0.857,10,0.9878787878787878,2
32,0.118,0.857,10,0.5030303030303029,0
33,0.118,0.857,10,0.6606060606060605,0
34,0.118,0.794,4.355,0.6606060606060605,0
35,0.118,0.786,10,0.35757575757575755,0
36,0.118,0.78,10,0.8909090909090909,1
37,0.118,0.78,10,0.8060606060606059,2
38,0.118,0.78,10,0.2606060606060606,0
39,0.118,0.78,10,0.8545454545454544,1
40,0.118,0.761,10,0.9999999999999999,2
41,0.118,0.761,10,0.16363636363636364,0
42,0.118,0.761,10,0.2606060606060606,0
43,0.118,0.761,10,0.9999999999999999,1
44,0.118,0.731,10,0.9999999999999999,2
45,0.118,0.551,10,0.8181818181818182,3
46,0.069,0.511,10,0.8060606060606059,4
47,0.069,0.511,10,0.9999999999999999,5
48,0.069,0.503,10,0.9878787878787878,6
49,0.069,0.503,10,0.5636363636363636,0
50,0.069,0.503,10,0.9999999999999999,1
51,0.069,0.503,10,0.9999999999999999,2
52,0.063,0.487,10,0.9999999999999999,3
53,0.063,0.487,10,0.9999999999999999,4
54,0.063,0.487,10,0.9999999999999999,5
55,0.063,0.487,10,0.9999999999999999,6
