gen,min_score,med_score,max_score,spearman,conv_counter
1,461.941254,745.103533,1123.637807,0,0
2,478.083706,827.412406,1333.653411,0.9999999999999999,1
3,675.252532,980.403211,1484.327446,0.5878787878787878,0
4,315.04676,1123.510639,1595.625674,0.34545454545454546,0
5,746.746477,1171.751449,1681.579067,-0.34545454545454546,0
6,709.397731,1243.432518,1681.579067,-0.13939393939393938,0
7,835.753199,1276.189025,1681.579067,0.309090909090909,0
8,557.505014,1333.653411,1767.574437,-0.23636363636363633,0
9,780.469461,1345.333377,1767.574437,0.9272727272727272,1
10,843.469331,1389.219063,1767.574437,0.406060606060606,0
11,872.270237,1404.760858,1767.574437,0.9999999999999999,1
12,814.58454,1424.165306,1767.574437,0.9999999999999999,2
13,915.740291,1451.189224,1898.523193,0.9999999999999999,3
14,969.289335,1474.878213,1898.523193,0.9999999999999999,4
15,629.703596,1490.154421,2181.720944,0.9272727272727272,5
16,801.368826,1518.603173,2181.720944,0.3696969696969697,0
17,673.067945,1568.851291,2181.720944,0.9878787878787878,1
18,875.544207,1644.528175,2181.720944,0.9999999999999999,2
19,956.860642,1681.579067,2181.720944,0.2121212121212121,0
20,925.403143,1695.951441,2596.343192,0.8909090909090909,1
21,979.883481,1719.565037,2596.343192,-0.05454545454545454,0
22,797.296025,1733.578438,2596.343192,0.9999999999999999,1
23,700.004448,1743.461109,2596.343192,0.6969696969696969,0
24,996.341501,1754.748249,2596.343192,0.9999999999999999,1
25,861.850435,1767.574437,2596.343192,0.5515151515151515,0
26,822.636003,1769.099867,2596.343192,0.9999999999999999,1
27,830.214187,1750.503689,2596.343192,0.9999999999999999,2
28,773.099636,1698.21276,2596.343192,0.9999999999999999,3
29,662.998447,1796.054997,2596.343192,0.9515151515151514,4
30,559.137061,1800.662845,2596.343192,0.9999999999999999,5
31,770.684149,1800.662845,2596.343192,0.9999999999999999,6
32,943.653354,1745.521526,2596.343192,0.9999999999999999,7
33,877.735522,1820.707734,2596.343192,0.9999999999999999,8
34,678.466098,1830.923208,2596.343192,0.8181818181818182,9
35,854.446758,1821.663942,2596.343192,0.9999999999999999,10
36,852.617305,1850.409572,2596.343192,0.9999999999999999,11
37,889.317364,1850.758004,2596.343192,0.7454545454545454,0
38,788.972529,1794.090873,2596.343192,0.22424242424242422,0
39,806.236641,1719.565037,2596.343192,0.9999999999999999,1
40,719.172543,1748.011469,2596.343192,0.9999999999999999,2
41,970.366424,1863.722632,2596.343192,0.01818181818181818,0
42,892.998959,1850.648285,2596.343192,0.9999999999999999,1
43,834.382733,1837.5058,2596.343192,0.9636363636363635,2
44,989.756939,1787.367801,2596.343192,0.9999999999999999,3
45,765.954951,1830.923208,2596.343192,0.9999999999999999,4
46,905.199492,1847.94891,2596.343192,0.9999999999999999,5
47,910.21536,1868.63509,2596.343192,0.8787878787878788,6
48,1159.80754,1881.907819,2596.343192,0.9999999999999999,7
49,564.729759,1892.209359,2596.343192,0.9999999999999999,8
50,917.456008,1892.209359,2596.343192,0.9999999999999999,9
51,862.462777,1892.209359,2596.343192,0.9999999999999999,10
52,770.774693,1762.765391,2596.343192,0.9999999999999999,11
53,699.347043,1820.707734,2596.343192,0.9878787878787878,12
54,1031.084973,1725.004052,2596.343192,0.9999999999999999,13
55,654.610602,1808.391078,2596.343192,0.9515151515151514,14
56,646.702891,1863.722632,2596.343192,0.9999999999999999,15
