gen,min_score,med_score,max_score,spearman,conv_counter
1,1.503,2.84,4.602,0,0
2,1.39,2.383,3.346,0.9999999999999999,1
3,1.39,2.183,10,-0.309090909090909,0
4,1.135,2.108,2.984,0.12727272727272726,0
5,1.135,2.046,10,0.9272727272727272,1
6,1.135,2.008,10,0.33333333333333326,0
7,1.135,1.961,10,0.8060606060606059,1
8,1.135,1.883,10,0.06666666666666665,0
9,0.885,1.699,10,0.4787878787878787,0
10,0.885,1.634,10,0.43030303030303024,0
11,0.885,1.426,10,0.9515151515151514,1
12,0.885,1.331,10,0.9878787878787878,2
13,0.885,1.32,3.632,0.9515151515151514,3
14,0.843,1.253,10,0.22424242424242422,0
15,0.843,1.189,10,0.9757575757575757,1
16,0.843,1.189,10,0.9878787878787878,2
17,0.843,1.189,10,0.9999999999999999,3
18,0.843,1.189,4.086,0.3696969696969697,0
19,0.843,1.189,4.27,0.7212121212121211,0
20,0.824,1.184,4.658,0.6242424242424242,0
21,0.824,1.184,10,0.8303030303030302,1
22,0.824,1.181,3.993,0.13939393939393938,0
23,0.824,1.172,10,0.9999999999999999,1
24,0.824,1.172,10,0.7575757575757575,0
25,0.824,1.135,3.644,0.5636363636363636,0
26,0.824,1.12,10,0.9999999999999999,1
27,0.783,1.113,10,0.8909090909090909,2
28,0.783,1.106,10,0.5757575757575757,0
29,0.783,1.106,3.996,0.8787878787878788,1
30,0.783,1.106,10,0.7696969696969697,0
31,0.783,1.084,10,0.6969696969696969,0
32,0.783,1.084,10,0.5636363636363636,0
33,0.783,1.084,10,0.24848484848484845,0
34,0.783,1.084,10,0.11515151515151514,0
35,0.783,1.081,4.27,0.9636363636363635,1
36,0.783,1.056,10,0.8060606060606059,2
37,0.783,1.056,4.033,0.6,0
38,0.783,1.056,4.136,0.9393939393939393,1
39,0.39,1.054,4.658,0.9999999999999999,2
40,0.39,1.054,4.535,0.2606060606060606,0
41,0.39,1.047,10,0.9515151515151514,1
42,0.39,1.042,4.658,0.6242424242424242,0
43,0.39,1.04,4.136,0.29696969696969694,0
44,0.39,1.04,4.658,0.10303030303030303,0
45,0.39,1.018,4.117,0.6121212121212121,0
46,0.39,1.012,4.382,0.9878787878787878,1
47,0.258,0.94,4.29,0.8787878787878788,2
48,0.258,0.94,10,0.8787878787878788,3
49,0.258,0.911,10,0.9878787878787878,4
50,0.258,0.861,4.99,0.8909090909090909,5
51,0.258,0.824,10,0.9151515151515152,6
52,0.258,0.824,4.149,0.9878787878787878,7
53,0.258,0.821,4.408,0.406060606060606,0
54,0.258,0.782,4.32,0.9999999999999999,1
55,0.258,0.76,10,0.9999999999999999,2
56,0.258,0.756,10,0.9999999999999999,3
57,0.258,0.756,10,0.9999999999999999,4
58,0.258,0.732,4.533,0.9515151515151514,5
59,0.258,0.732,10,0.9999999999999999,6
60,0.258,0.732,10,0.7818181818181817,0
61,0.258,0.725,4.218,0.9999999999999999,1
62,0.258,0.725,10,0.5636363636363636,0
63,0.258,0.698,4.509,0.9999999999999999,1
64,0.258,0.68,3.939,0.9999999999999999,2
65,0.258,0.68,10,0.9878787878787878,3
66,0.258,0.68,10,0.9999999999999999,4
67,0.258,0.677,10,0.9999999999999999,5
68,0.258,0.633,10,0.9999999999999999,6
69,0.258,0.633,4.408,0.8909090909090909,7
70,0.258,0.633,10,0.9999999999999999,8
71,0.258,0.633,4.188,0.8060606060606059,9
72,0.258,0.633,10,0.9999999999999999,10
73,0.258,0.607,4.69,0.8060606060606059,11
74,0.258,0.607,10,0.9999999999999999,12
75,0.258,0.607,4.408,0.9999999999999999,13
76,0.258,0.602,4.592,0.10303030303030303,0
77,0.258,0.602,4.237,0.9999999999999999,1
78,0.258,0.602,4.251,0.9999999999999999,2
79,0.258,0.602,10,0.9515151515151514,3
80,0.258,0.602,10,0.9999999999999999,4
81,0.258,0.602,4.007,0.22424242424242422,0
82,0.258,0.602,10,0.9999999999999999,1
83,0.258,0.602,3.589,0.9878787878787878,2
84,0.258,0.602,4.296,0.17575757575757575,0
85,0.258,0.602,10,0.9999999999999999,1
86,0.258,0.601,10,0.9757575757575757,2
87,0.258,0.601,10,0.4545454545454545,0
88,0.258,0.601,10,0.9999999999999999,1
89,0.258,0.598,3.589,0.8909090909090909,2
90,0.258,0.598,10,-0.0303030303030303,0
91,0.258,0.596,10,0.9515151515151514,1
92,0.258,0.596,10,0.9999999999999999,2
93,0.258,0.596,3.927,0.7333333333333332,0
94,0.258,0.596,10,0.9999999999999999,1
95,0.258,0.596,3.593,0.9999999999999999,2
96,0.258,0.596,4.223,0.9999999999999999,3
97,0.258,0.596,4.592,0.8060606060606059,4
98,0.258,0.596,10,0.9999999999999999,5
99,0.258,0.596,4.036,0.8909090909090909,6
100,0.258,0.596,4.527,0.9999999999999999,7
101,0.258,0.596,10,0.9999999999999999,8
102,0.258,0.596,10,0.9878787878787878,9
103,0.258,0.596,3.578,0.9999999999999999,10
104,0.258,0.596,3.53,0.9999999999999999,11
105,0.258,0.596,3.273,0.8909090909090909,12
106,0.258,0.596,4.182,0.9151515151515152,13
107,0.258,0.596,3.394,0.9878787878787878,14
108,0.258,0.596,3.2,0.8909090909090909,15
109,0.258,0.595,10,0.8181818181818182,16
110,0.258,0.595,10,0.8909090909090909,17
111,0.258,0.595,10,0.8909090909090909,18
112,0.258,0.595,4.237,0.8181818181818182,19
113,0.258,0.595,10,0.9999999999999999,20
114,0.258,0.595,10,0.9999999999999999,21
115,0.228,0.59,4.515,0.9999999999999999,22
116,0.228,0.564,4.554,0.8060606060606059,23
117,0.228,0.564,3.578,0.8909090909090909,24
118,0.228,0.564,4.37,0.9999999999999999,25
119,0.228,0.564,4.592,0.9999999999999999,26
120,0.228,0.562,10,0.9515151515151514,27
121,0.228,0.562,4.353,0.9999999999999999,28
122,0.228,0.55,10,0.9878787878787878,29
123,0.228,0.549,3.854,0.6969696969696969,0
124,0.228,0.539,4.408,0.9999999999999999,1
125,0.228,0.539,3.667,0.9878787878787878,2
126,0.228,0.539,4.269,0.9999999999999999,3
127,0.228,0.539,4.041,0.9999999999999999,4
128,0.228,0.539,3.658,0.9999999999999999,5
129,0.228,0.539,4.321,0.9999999999999999,6
130,0.228,0.539,4.464,0.9999999999999999,7
131,0.228,0.539,3.699,0.5636363636363636,0
132,0.228,0.539,3.51,0.6969696969696969,0
133,0.228,0.539,10,0.9878787878787878,1
134,0.228,0.539,3.466,0.9999999999999999,2
135,0.228,0.539,10,0.6969696969696969,0
136,0.228,0.539,3.746,0.6969696969696969,0
137,0.228,0.539,3.587,0.9999999999999999,1
138,0.228,0.539,4.355,0.9999999999999999,2
139,0.228,0.539,3.652,0.9999999999999999,3
140,0.228,0.539,3.667,0.9999999999999999,4
141,0.228,0.539,4.592,0.9999999999999999,5
142,0.228,0.539,10,0.9999999999999999,6
143,0.228,0.539,10,0.22424242424242422,0
144,0.228,0.533,4.324,0.9999999999999999,1
145,0.228,0.516,3.08,0.9999999999999999,2
146,0.228,0.516,10,0.9999999999999999,3
147,0.228,0.503,3.971,0.9999999999999999,4
148,0.228,0.503,3.62,0.9999999999999999,5
149,0.228,0.503,3.964,0.6969696969696969,0
150,0.228,0.503,3.822,0.9999999999999999,1
151,0.228,0.503,3.431,0.9999999999999999,2
152,0.228,0.503,4.38,0.8060606060606059,3
153,0.228,0.503,4.111,0.9515151515151514,4
154,0.228,0.503,10,0.9999999999999999,5
155,0.228,0.503,4.068,0.9999999999999999,6
156,0.228,0.503,4.093,0.8909090909090909,7
157,0.228,0.503,3.998,0.9999999999999999,8
158,0.228,0.503,10,0.9999999999999999,9
159,0.228,0.503,4.166,0.9999999999999999,10
160,0.228,0.503,4.273,0.9999999999999999,11
161,0.228,0.503,3.4,0.9999999999999999,12
162,0.228,0.503,10,0.9999999999999999,13
163,0.228,0.503,3.589,0.9999999999999999,14
164,0.228,0.503,10,0.9999999999999999,15
165,0.228,0.503,10,0.9999999999999999,16
166,0.228,0.503,10,0.9999999999999999,17
167,0.228,0.503,3.544,0.9999999999999999,18
168,0.228,0.503,4.065,0.9999999999999999,19
169,0.228,0.503,10,0.8909090909090909,20
170,0.228,0.501,4.08,0.9999999999999999,21
171,0.228,0.501,4.794,0.9999999999999999,22
172,0.228,0.501,3.881,0.9999999999999999,23
173,0.228,0.501,4.399,0.8787878787878788,24
174,0.228,0.501,3.594,0.9515151515151514,25
175,0.228,0.501,10,0.9999999999999999,26
176,0.228,0.501,10,0.9515151515151514,27
177,0.228,0.501,4.552,0.9999999999999999,28
178,0.228,0.501,3.544,0.8909090909090909,29
179,0.228,0.501,3.986,0.9515151515151514,30
180,0.228,0.501,10,0.9999999999999999,31
181,0.228,0.501,4.08,0.9999999999999999,32
182,0.228,0.501,3.885,0.9999999999999999,33
183,0.228,0.501,4.067,0.9515151515151514,34
184,0.228,0.501,3.818,0.9515151515151514,35
185,0.228,0.501,4.534,0.9999999999999999,36
186,0.228,0.501,4.785,0.9515151515151514,37
187,0.228,0.501,3.035,0.9636363636363635,38
188,0.228,0.501,4.019,0.9999999999999999,39
189,0.228,0.501,10,0.9999999999999999,40
190,0.228,0.501,3.67,0.9999999999999999,41
191,0.228,0.501,10,0.9999999999999999,42
192,0.228,0.501,4.293,0.9999999999999999,43
193,0.228,0.501,3.951,0.9999999999999999,44
194,0.228,0.501,10,0.9999999999999999,45
195,0.228,0.501,10,0.9999999999999999,46
196,0.228,0.501,10,0.9999999999999999,47
197,0.228,0.501,4.059,0.9999999999999999,48
198,0.228,0.501,3.772,0.9999999999999999,49
199,0.228,0.501,3.9,0.9999999999999999,50
