gen,min_score,med_score,max_score,spearman,conv_counter
1,452.640107,688.68921,1069.062147,0,0
2,581.722817,835.494104,1093.328937,0.9999999999999999,1
3,601.053935,928.123179,1192.315388,-0.16363636363636364,0
4,829.920741,1039.452583,1249.613361,-0.5272727272727272,0
5,630.384262,1069.062147,1377.945234,0.33333333333333326,0
6,855.285523,1083.679329,1377.945234,-0.3696969696969697,0
7,784.106051,1095.242411,1377.945234,0.1515151515151515,0
8,745.445466,1130.245408,1759.044945,0.4666666666666666,0
9,820.916462,1146.298955,1759.044945,0.43030303030303024,0
10,816.39431,1213.803693,1783.253912,0.6121212121212121,0
11,806.533873,1307.024261,1909.276541,0.6,0
12,798.50096,1527.010035,2440.284581,0.9999999999999999,1
13,753.739444,1593.554754,2440.284581,0.7333333333333332,0
14,883.870476,1611.109245,2440.284581,-0.16363636363636364,0
15,852.12269,1633.515322,2440.284581,0.49090909090909085,0
16,820.736359,1615.048721,2440.284581,0.9515151515151514,1
17,597.52485,1671.083391,2440.284581,0.9999999999999999,2
18,795.25035,1718.396285,2440.284581,0.9515151515151514,3
19,728.256217,1728.536532,2518.09968,0.9515151515151514,4
20,767.409837,1759.044945,2518.09968,0.9999999999999999,5
21,840.391157,1783.024717,2518.09968,0.9999999999999999,6
22,904.297447,1783.253912,2518.09968,0.7454545454545454,0
23,899.255447,1811.559175,2518.09968,0.3939393939393939,0
24,891.794468,1840.51489,2518.09968,0.9515151515151514,1
25,925.507968,1658.84328,2518.09968,0.9999999999999999,2
26,842.138125,1841.897209,2518.09968,0.5151515151515151,0
27,1134.687314,1848.136083,2518.09968,0.7333333333333332,0
28,1023.066358,1814.299272,2518.09968,0.6606060606060605,0
29,755.623099,1850.946584,2596.343192,0.7696969696969697,0
30,1251.108369,1841.897209,2596.343192,0.8424242424242423,1
31,1058.66905,1858.724401,2596.343192,0.9515151515151514,2
32,1080.505105,1863.074411,2596.343192,0.8424242424242423,3
33,981.715736,1863.722632,2596.343192,0.5636363636363636,0
